id,commonName,scientificName,state,latitude,longitude,eventDate,sex
ffcdf488-aceb-4c89-8946-eda83bc53ef3,Platypus,Ornithorhynchus anatinus,New South Wales,-32.639812781,151.756462405,2004-07-01,NA
ffc44b79-e8cd-4f26-80a3-a4217ba44799,Platypus,Ornithorhynchus anatinus,New South Wales,-37.27307922,149.67976352,2004-07-01,NA
ffbd3ac8-9866-449c-9f7e-0160b28b8abf,Platypus,Ornithorhynchus anatinus,New South Wales,-36.880572372,149.166865318,1980-01-01,NA
ffbd2902-e42b-4a28-adb6-77c75223f5cf,Platypus,Ornithorhynchus anatinus,New South Wales,-37.146037351,149.827359368,1982-01-01,NA
ffa5e1d9-edf2-4011-ae05-68b94ee34921,Platypus,Ornithorhynchus anatinus,New South Wales,-33.096516447,149.735636765,1990-01-01,NA
ff9f834e-8334-4f0d-9f46-518b825ac9cb,Platypus,Ornithorhynchus anatinus,New South Wales,-35.49669519,150.218799627,2004-07-01,NA
ff6c5e80-41f5-4c1a-a824-d406a9b84bad,Platypus,Ornithorhynchus anatinus,New South Wales,-33.711425674,150.618192282,1998-07-01,NA
ff6c5030-3e89-42c3-8f01-9aa0b393632f,Platypus,Ornithorhynchus anatinus,New South Wales,-31.932993235,152.281952916,1980-01-01,NA
ff5df1ce-0055-48b1-95de-d42323e1e3d0,Platypus,Ornithorhynchus anatinus,New South Wales,-34.726387161,150.636180253,2004-07-01,NA
ff47ab2d-2f36-462a-907e-d2bbcd4354ad,Platypus,Ornithorhynchus anatinus,New South Wales,-28.848416426,153.086438397,2004-07-01,NA
ff456bab-0865-431b-9f90-c7287de3b9a2,Platypus,Ornithorhynchus anatinus,New South Wales,-33.078264505,149.678953072,1980-01-01,NA
ff40b6ba-abd0-46e9-b105-fa9904b5099a,Platypus,Ornithorhynchus anatinus,New South Wales,-32.52154495,151.56115427,2004-07-01,NA
ff2e55f4-7630-4dec-a86f-9a2bb012c2b0,Platypus,Ornithorhynchus anatinus,New South Wales,-32.79994906,149.96746099,2004-07-01,NA
ff2c90b8-45d6-4765-866a-4edbdf427005,Platypus,Ornithorhynchus anatinus,New South Wales,-33.286819943,148.738589831,2004-07-01,NA
